Kaupunki,Väkiluku
Helsinki,653867
Espoo,289413
Tampere,238245
Vantaa,233290
Oulu,205303
Turku,193271
Jyväskylä,142467
Lahti,119925
Kuopio,119438
Pori,84026
Kouvola,82256
Joensuu,76905
Lappeenranta,72756
Vaasa,67797
Hämeenlinna,67712
Seinäjoki,63780
Rovaniemi,63151
Mikkeli,53258
Kotka,52185
Salo,51886
Porvoo,50393
Kokkola,47703
Hyvinkää,46386
Lohja,45984
Järvenpää,43714
Rauma,39269
Kajaani,36768
Kerava,36725
Nokia,33916
Kaarina,33881
Ylöjärvi,33212
Savonlinna,33085
Kangasala,31834
Riihimäki,28836
Raasepori,27595
Imatra,26544
Raahe,24683
Sastamala,24292
Raisio,24055
Tornio,21643
Iisalmi,21382
Valkeakoski,20972
Kemi,20788
Kurikka,20702
Varkaus,20606
Jämsä,20215
Hamina,20146
Naantali,19287
Pietarsaari,19228
Äänekoski,18779
Heinola,18704
Pieksämäki,17711
Forssa,16904
Akaa,16481
Orimattila,16007
Loimaa,15888
Kauhava,15758
Uusikaupunki,15530
Ylivieska,15241
Parainen,15151
Kuusamo,15126
Loviisa,14807
Lapua,14277
Kauhajoki,13213
Ulvila,12870
Kalajoki,12382
Maarianhamina,11688
Alavus,11481
Kankaanpää,11319
Lieksa,10902
Paimio,10852
Nivala,10644
Kitee,10160
Huittinen,10050
Mänttä-Vilppula,9862
Kauniainen,9702
Keuruu,9610
Alajärvi,9572
Närpiö,9478
Saarijärvi,9321
Orivesi,9183
Karkkila,8746
Somero,8717
Laitila,8573
Hanko,8210
Kuhmo,8189
Kiuruvesi,8004
Pudasjärvi,7863
Nurmes,7473
Uusikaarlepyy,7472
Oulainen,7312
Kemijärvi,7280
Kokemäki,7132
Suonenjoki,7057
Haapajärvi,7037
Ikaalinen,6950
Harjavalta,6940
Haapavesi,6762
Outokumpu,6716
Virrat,6566
Kristiinankaupunki,6486
Parkano,6413
Viitasaari,6176
Ähtäri,5624
Kannus,5452
Pyhäjärvi,5141
Kaskinen,1240
